Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type
"$623,818","Hamlin St Ne, Washington, DC 20017",$1870/m Estimated Rental Value,3 bed,1.5 bath,"1,284 sqft.",Townhome
,"South St Nw, Washington, DC 20009",*Rental Value Coming Soon,,,,Townhome
,"Georgia Ave Nw # P1, Washington, DC 20010",*Rental Value Coming Soon,,,,Multi-Family
"$287,001","Cathedral Ave Nw Apt 503w, Washington, DC 20016",$2060/m Estimated Rental Value,1 bed,1 bath,,Condo
,"Summit Ct Ne, Washington, DC 20018",*Rental Value Coming Soon,2 bed,2 bath,,Condo
"$414,000","Newcomb St Se, Washington, DC 20032",$1780/m Estimated Rental Value,8 bed,4 bath,"2,880 sqft.",Multi-Family
"$387,087","13th St Nw Apt 414, Washington, DC 20005",$2080/m Estimated Rental Value,1 bed,1 bath,637 sqft.,Condo
"$328,900","Lamont St Nw Apt 3a, Washington, DC 20010",$1920/m Estimated Rental Value,1 bed,1 bath,525 sqft.,Condo
,"Suitland Rd Se # S, Washington, DC 20020",*Rental Value Coming Soon,2 bed,1 bath,850 sqft.,Condo
"$313,313","17th St Se, Washington, DC 20020",$1520/m Estimated Rental Value,3 bed,2 bath,902 sqft.,Townhome
"$681,000","Maryland Ave Ne, Washington, DC 20002",$2310/m Estimated Rental Value,3 bed,2 bath,"1,400 sqft.",Multi-Family
"$322,910","Downing Pl Ne Apt 1, Washington, DC 20018",*Rental Value Coming Soon,2 bed,1 bath,606 sqft.,Condo
"$1,002,253","13th St Nw, Washington, DC 20012",$3660/m Estimated Rental Value,4 bed,4 bath,"2,404 sqft.",Single-Family
"$414,377","Alabama Ave Se, Washington, DC 20020",$2070/m Estimated Rental Value,3 bed,1 bath,"1,164 sqft.",Single-Family
"$700,582","Underwood St Nw, Washington, DC 20012",$2300/m Estimated Rental Value,3 bed,2 bath,"1,471 sqft.",Single-Family
,"17th St Nw, Washington, DC 20009",*Rental Value Coming Soon,,,"86,244 sqft.",Co-Op
"$662,829","New Hampshire Ave Nw, Washington, DC 20011",$2620/m Estimated Rental Value,3 bed,3 bath,"1,260 sqft.",Townhome
,"Delaware Ave Sw, Washington, DC 20024",*Rental Value Coming Soon,,,"363,870 sqft.",Co-Op
"$655,220","14th St Ne, Washington, DC 20017",$2640/m Estimated Rental Value,3 bed,2 bath,"1,152 sqft.",Single-Family
"$1,973,040","16th St Nw, Washington, DC 20012",$4400/m Estimated Rental Value,5 bed,6 bath,"3,692 sqft.",Single-Family
"$537,280","Evarts St Ne, Washington, DC 20018",$2510/m Estimated Rental Value,3 bed,1 bath,"1,340 sqft.",Single-Family
"$1,179,280","Warren St Nw, Washington, DC 20016",$11554/m Estimated Rental Value,3 bed,2 bath,"1,843 sqft.",Single-Family
"$259,338","Minnesota Ave Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,1 bath,918 sqft.,Single-Family
"$306,947","Blaine St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,2 bath,"1,188 sqft.",Single-Family
"$851,735","Bryant St Nw, Washington, DC 20001",$2780/m Estimated Rental Value,4 bed,3 bath,"2,224 sqft.",Townhome
"$221,357","New Hampshire Ave Nw A..., Washington, DC 20009",$1840/m Estimated Rental Value,1 bed,1 bath,336 sqft.,Condo
"$417,037","Congress St Se Apt 101, Washington, DC 20032",$1390/m Estimated Rental Value,3 bed,3 bath,"1,063 sqft.",Condo
,"Vine St Nw, Washington, DC 20012",*Rental Value Coming Soon,,,0 sqft.,
"$937,640","Florida Ave Nw, Washington, DC 20001",$2900/m Estimated Rental Value,,,0 sqft.,
"$572,951","3rd St Nw, Washington, DC 20011",$2730/m Estimated Rental Value,,,0 sqft.,
"$1,043,000","Q St Nw, Washington, DC 20001",$2710/m Estimated Rental Value,4 bed,3 bath,"1,653 sqft.",Multi-Family
"$499,259","9th St Nw, Washington, DC 20011",$2300/m Estimated Rental Value,4 bed,2 bath,"1,116 sqft.",Townhome
"$441,176","Olive St Ne, Washington, DC 20019",$1920/m Estimated Rental Value,3 bed,3 bath,"1,716 sqft.",Single-Family
"$394,708","20th St Se, Washington, DC 20020",$2030/m Estimated Rental Value,3 bed,2 bath,"1,090 sqft.",Single-Family
,"Georgia Ave Nw, Washington, DC 20010",*Rental Value Coming Soon,,,,
"$254,580","Eastern Ave Ne, Washington, DC 20019",$1398/m Estimated Rental Value,2 bed,1.5 bath,832 sqft.,Single-Family
"$719,475","Park Rd Nw, Washington, DC 20010",$2630/m Estimated Rental Value,3 bed,2.5 bath,"1,336 sqft.",Single-Family
"$875,835","Duncan St Ne, Washington, DC 20002",$2670/m Estimated Rental Value,3 bed,1 bath,"1,472 sqft.",Single-Family
"$327,500","56th St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,2.5 bath,800 sqft.,Single-Family
"$481,983","Massachusetts Ave Nw A..., Washington, DC 20005",$2360/m Estimated Rental Value,1 bed,1 bath,,Condo
"$343,274","32nd St Se, Washington, DC 20020",$2100/m Estimated Rental Value,3 bed,1.5 bath,"1,248 sqft.",Single-Family
,"C St Se # 202, Washington, DC 20003",*Rental Value Coming Soon,,,,
"$412,879","Baker St Ne, Washington, DC 20019",$1420/m Estimated Rental Value,2 bed,1 bath,884 sqft.,Single-Family
,"1st St Nw # 472, Washington, DC 20001",*Rental Value Coming Soon,,,,
"$521,000","5th St Nw, Washington, DC 20011",$2140/m Estimated Rental Value,3 bed,1 bath,800 sqft.,Single-Family
,"Connecticut Ave Nw Apt..., Washington, DC 20008",*Rental Value Coming Soon,,,,
,"1st St Se, Apt 1209, Washington, DC 20003",*Rental Value Coming Soon,,,,
"$821,797","Champlain St Nw, Washington, DC 20009",$2850/m Estimated Rental Value,3 bed,2 bath,"1,624 sqft.",Townhome
"$408,717","Eads St Ne, Washington, DC 20019",$1420/m Estimated Rental Value,3 bed,1 bath,"1,040 sqft.",Townhome
"$438,000","Marion St Nw, Washington, DC 20001",$2680/m Estimated Rental Value,,,"128,015 sqft.",Commercial
"$316,101","Hayes St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,2 bath,"1,129 sqft.",Single-Family
"$262,112","Connecticut Ave Nw Apt..., Washington, DC 20015",$1740/m Estimated Rental Value,1 bed,1 bath,808 sqft.,Condo
"$450,549","Sheriff Rd Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,2 bath,"1,782 sqft.",Single-Family
"$668,073","Upshur St Nw, Washington, DC 20011",$2640/m Estimated Rental Value,3 bed,3 bath,"1,352 sqft.",Townhome
"$387,000","Forrester St Sw, Washington, DC 20032",$1720/m Estimated Rental Value,4 bed,4 bath,"2,800 sqft.",Multi-Family
,"51st St Ne Apt 102b, Washington, DC 20019",*Rental Value Coming Soon,,,,
,"Connecticut Ave Nw, Washington, DC 20009",*Rental Value Coming Soon,,,,
"$206,640","14th St Nw Unit 106, Washington, DC 20012",$1520/m Estimated Rental Value,1 bed,1 bath,,Condo
"$890,010","Owen Pl Ne, Washington, DC 20002",$1890/m Estimated Rental Value,3 bed,1 bath,"1,310 sqft.",Single-Family
"$477,991","15th St Ne, Washington, DC 20018",$2150/m Estimated Rental Value,3 bed,1 bath,"1,160 sqft.",Single-Family
,"25th St Se, # B290, Washington, DC 20020",*Rental Value Coming Soon,,,,
,"K St Nw Ste 300, Washington, DC 20006",*Rental Value Coming Soon,,,,
"$1,024,092","18th St Se, Washington, DC 20003",$2760/m Estimated Rental Value,3 bed,2 bath,960 sqft.,Single-Family
,"Naylor Rd Se Apt 103, Washington, DC 20020",*Rental Value Coming Soon,,,,Multi-Family
,"Longfellow St Nw Apt 103, Washington, DC 20011",*Rental Value Coming Soon,,,,
,"Wheeler Rd Se Apt 103, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"6th St Se, # 103, Washington, DC 20032",*Rental Value Coming Soon,,,,
,"S St Se, # B1, Washington, DC 20020",*Rental Value Coming Soon,,,,
,"Hunt Pl Ne, # B1, Washington, DC 20019",*Rental Value Coming Soon,,,,
,"17th Pl Se Apt 103, Washington, DC 20020",*Rental Value Coming Soon,,,,
,"9th St Se, # B3, Washington, DC 20032",*Rental Value Coming Soon,,,,Multi-Family
,"Nannie Helen Burroughs..., Washington, DC 20019",*Rental Value Coming Soon,,,,
,"R St Nw Apt 102, Washington, DC 20001",*Rental Value Coming Soon,,,,
,"Saratoga Ave Ne Apt 1, Washington, DC 20018",*Rental Value Coming Soon,,,,
"$419,637","Southern Ave Se, Washington, DC 20019",$1880/m Estimated Rental Value,3 bed,1 bath,"1,492 sqft.",Single-Family
,"Sheridan Rd Se, Washington, DC 20020",*Rental Value Coming Soon,,,,
"$418,169","33rd St Ne, Washington, DC 20019",$1420/m Estimated Rental Value,2 bed,1.5 bath,832 sqft.,Single-Family
"$495,215","5th St Nw, Washington, DC 20011",$2140/m Estimated Rental Value,3 bed,1 bath,800 sqft.,Townhome
,"New Jersey Ave Se Frnt..., Washington, DC 20003",*Rental Value Coming Soon,,,,
"$309,505","U Pl Se, Washington, DC 20020",$1580/m Estimated Rental Value,3 bed,1 bath,"1,080 sqft.",Townhome
"$791,990","Longfellow St Nw, Washington, DC 20011",$2370/m Estimated Rental Value,3 bed,2 bath,"1,116 sqft.",Townhome
"$350,221","Columbia Rd Nw Apt 102, Washington, DC 20009",$2070/m Estimated Rental Value,2 bed,1 bath,718 sqft.,Condo
"$733,096","Illinois Ave Nw, Washington, DC 20011",$2740/m Estimated Rental Value,3 bed,4 bath,"1,856 sqft.",Townhome
"$499,700","N Capitol St Ne, Washington, DC 20011",$2360/m Estimated Rental Value,3 bed,2 bath,"1,216 sqft.",Single-Family
"$1,252,217","28th St Nw, Washington, DC 20015",$4700/m Estimated Rental Value,5 bed,5 bath,"2,433 sqft.",Single-Family
"$393,775","49th Pl Ne, Washington, DC 20019",$1620/m Estimated Rental Value,2 bed,1 bath,936 sqft.,Single-Family
,"14th St Nw # 39, Washington, DC 20005",*Rental Value Coming Soon,,,,Commercial
,"Massachusetts Ave Nw A..., Washington, DC 20005",*Rental Value Coming Soon,,,,
"$1,273,091","Kalmia Rd Nw, Washington, DC 20012",$3960/m Estimated Rental Value,4 bed,3.5 bath,"1,920 sqft.",Single-Family
"$1,376,000","Maryland Ave Ne, Washington, DC 20002",$3350/m Estimated Rental Value,5 bed,4.5 bath,"2,921 sqft.",Multi-Family
"$347,000","42nd St Ne, Washington, DC 20019",$1301/m Estimated Rental Value,2 bed,2 bath,"1,120 sqft.",Multi-Family
"$343,821","28th St Se, Washington, DC 20020",$2080/m Estimated Rental Value,3 bed,3 bath,"1,200 sqft.",Townhome
"$470,259","46th St Se, Washington, DC 20019",$1880/m Estimated Rental Value,3 bed,2 bath,"1,232 sqft.",Single-Family
"$890,644","Webster St Nw, Washington, DC 20011",$2670/m Estimated Rental Value,4 bed,3.5 bath,"2,142 sqft.",Single-Family
,"Edgewood St Ne Apt 309, Washington, DC 20017",*Rental Value Coming Soon,,,,
,"G St Sw Apt B402, Washington, DC 20024",*Rental Value Coming Soon,,,,
"$884,627","New Hampshire Ave Nw, Washington, DC 20011",$3010/m Estimated Rental Value,4 bed,4 bath,"2,287 sqft.",Single-Family
,"Franklin St Ne, Washington, DC 20018",*Rental Value Coming Soon,,,,Land
,"31st Pl Ne, Washington, DC 20018",*Rental Value Coming Soon,3 bed,2.5 bath,,Condo
"$284,392","Malcolm X Ave Se, Washington, DC 20032",$1790/m Estimated Rental Value,4 bed,2 bath,"1,254 sqft.",Single-Family
"$277,823","13th St Nw Apt 416, Washington, DC 20005",$2020/m Estimated Rental Value,,1 bath,485 sqft.,Condo
"$445,569","48th St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,2 bath,"1,509 sqft.",Single-Family
"$484,054","Chillum Pl Ne, Washington, DC 20011",$1880/m Estimated Rental Value,2 bed,2 bath,864 sqft.,Single-Family
"$487,795","Massachusetts Ave Se # 2, Washington, DC 20019",$1440/m Estimated Rental Value,3 bed,3 bath,"1,696 sqft.",Condo
"$589,698","Monroe St Ne, Washington, DC 20018",$2260/m Estimated Rental Value,3 bed,2 bath,"1,776 sqft.",Single-Family
"$256,144","Sheriff Rd Ne, Washington, DC 20019",$1251/m Estimated Rental Value,2 bed,1 bath,"1,064 sqft.",Townhome
,"Summit Ct Ne, Washington, DC 20018",*Rental Value Coming Soon,4 bed,1 bath,926 sqft.,Condo
"$456,385","Southern Ave Se, Washington, DC 20019",$1880/m Estimated Rental Value,3 bed,1.5 bath,"1,802 sqft.",Single-Family
"$391,448","27th St Ne, Washington, DC 20018",$1760/m Estimated Rental Value,2 bed,1 bath,918 sqft.,Single-Family
"$1,206,464","Butterworth Pl Nw, Washington, DC 20016",$3160/m Estimated Rental Value,3 bed,2 bath,"1,080 sqft.",Single-Family
"$504,218","44th Pl Se, Washington, DC 20019",$1880/m Estimated Rental Value,3 bed,2 bath,"1,276 sqft.",Single-Family
"$337,877","49th St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,2 bed,1 bath,962 sqft.,Single-Family
"$1,183,992","Connecticut Ave Nw, Washington, DC 20008",$5220/m Estimated Rental Value,,,,Multi-Family
"$1,369,346","Verbena St Nw, Washington, DC 20012",$3640/m Estimated Rental Value,4 bed,2.5 bath,"1,706 sqft.",Single-Family
,"Maine Ave Sw, Apt E-506, Washington, DC 20024",*Rental Value Coming Soon,,,,
,"Fort Lincoln Dr Ne, Washington, DC 20018",*Rental Value Coming Soon,,,,
"$448,637","14th St Nw Apt B2, Washington, DC 20011",$1780/m Estimated Rental Value,,,,Condo
"$470,400","Ayers Pl Se, Washington, DC 20019",$1760/m Estimated Rental Value,3 bed,2 bath,"1,344 sqft.",Single-Family
"$476,308","M St Sw # N801, Washington, DC 20024",$2200/m Estimated Rental Value,2 bed,2 bath,"1,140 sqft.",Condo
"$845,633","Lamont St Nw, Washington, DC 20010",$2960/m Estimated Rental Value,6 bed,3 bath,"2,718 sqft.",Single-Family
"$264,275","14th St Nw Apt 116w, Washington, DC 20009",$2230/m Estimated Rental Value,2 bed,1 bath,720 sqft.,Condo
"$277,000","Halley Pl Se, Washington, DC 20032",$1530/m Estimated Rental Value,4 bed,4 bath,"2,442 sqft.",Multi-Family
"$926,000","T St Nw, Washington, DC 20001",$2920/m Estimated Rental Value,4 bed,5 bath,"2,035 sqft.",Multi-Family
"$437,906","56th St Se, Washington, DC 20019",$1880/m Estimated Rental Value,3 bed,2 bath,"1,188 sqft.",Single-Family
"$371,000","28th St Se, Washington, DC 20020",$1780/m Estimated Rental Value,5 bed,2 bath,810 sqft.,Multi-Family
"$822,232","M St Ne, Washington, DC 20002",$2400/m Estimated Rental Value,3 bed,2 bath,"1,512 sqft.",Townhome
"$427,067","Foote St Ne, Washington, DC 20019",$1680/m Estimated Rental Value,3 bed,1 bath,970 sqft.,Single-Family
"$512,837","E St Nw Apt 230, Washington, DC 20004",$2260/m Estimated Rental Value,1 bed,1 bath,861 sqft.,Condo
,"Florida Ave Nw # 4, Washington, DC 20001",*Rental Value Coming Soon,2 bed,1 bath,731 sqft.,Condo
"$426,241","Hayes St Ne, Washington, DC 20019",$1301/m Estimated Rental Value,2 bed,1 bath,990 sqft.,Single-Family
"$542,622","P St Se, Washington, DC 20020",$2100/m Estimated Rental Value,4 bed,2 bath,891 sqft.,Single-Family
,"Davenport St Nw Apt 308, Washington, DC 20008",*Rental Value Coming Soon,,,,
,"Galveston St Sw Apt T1, Washington, DC 20032",*Rental Value Coming Soon,,,,
"$542,317","33rd St Se, Washington, DC 20020",$2120/m Estimated Rental Value,3 bed,2 bath,"1,284 sqft.",Single-Family
,"R St Nw Apt 202, Washington, DC 20001",*Rental Value Coming Soon,,,,
"$152,673","Suitland Ter Se Apt 201, Washington, DC 20020",$1450/m Estimated Rental Value,,,,Condo
"$741,179","Spring Rd Nw, Washington, DC 20010",$2690/m Estimated Rental Value,3 bed,1 bath,"1,280 sqft.",Single-Family
"$639,159","17th Pl Ne, Washington, DC 20002",$1760/m Estimated Rental Value,2 bed,2 bath,"1,398 sqft.",Townhome
"$369,075","Horner Pl Se, Washington, DC 20032",$1398/m Estimated Rental Value,3 bed,1 bath,"1,024 sqft.",Single-Family
"$287,910","Connecticut Ave Nw Apt..., Washington, DC 20008",$1880/m Estimated Rental Value,1 bed,1 bath,761 sqft.,Condo
"$728,709","F St Ne, Washington, DC 20002",$2660/m Estimated Rental Value,3 bed,2 bath,"1,312 sqft.",Townhome
,"Alaska Ave Nw Apt 201, Washington, DC 20012",*Rental Value Coming Soon,2 bed,2 bath,865 sqft.,Condo
"$675,045","Galloway St Ne, Washington, DC 20017",$2470/m Estimated Rental Value,4 bed,2 bath,"1,444 sqft.",Single-Family
"$694,984","Lincoln Rd Ne, Washington, DC 20002",$1900/m Estimated Rental Value,3 bed,1 bath,"1,530 sqft.",Townhome
"$1,142,336","Corcoran St Nw # 1, Washington, DC 20009",$3050/m Estimated Rental Value,2 bed,3 bath,"1,771 sqft.",Condo
"$1,373,322","Upland Ter Nw, Washington, DC 20015",$4360/m Estimated Rental Value,3 bed,3 bath,"1,854 sqft.",Single-Family
"$351,025","Savannah Pl Se, Washington, DC 20020",$1960/m Estimated Rental Value,2 bed,1 bath,850 sqft.,Single-Family
"$470,012","Ely Pl Se, Washington, DC 20019",$1920/m Estimated Rental Value,3 bed,2 bath,"1,128 sqft.",Single-Family
"$624,139","Shepherd St Nw, Washington, DC 20011",$2220/m Estimated Rental Value,2 bed,2 bath,"1,330 sqft.",Townhome
,"17th Pl Ne Apt 303, Washington, DC 20002",*Rental Value Coming Soon,1 bed,1 bath,506 sqft.,Condo
"$1,295,093","Van Ness St Nw, Washington, DC 20016",$3880/m Estimated Rental Value,3 bed,2 bath,"1,322 sqft.",Single-Family
"$460,274","Otis St Ne, Washington, DC 20018",$2200/m Estimated Rental Value,3 bed,1 bath,"1,092 sqft.",Single-Family
"$109,470","Eastern Ave Ne Apt 10, Washington, DC 20019",$1271/m Estimated Rental Value,1 bed,1 bath,555 sqft.,Condo
,"Warder St Nw # 1, Washington, DC 20010",*Rental Value Coming Soon,,,,Condo
"$412,335","Barnaby Ter Se, Washington, DC 20032",$1400/m Estimated Rental Value,3 bed,1.5 bath,"1,134 sqft.",Single-Family
,"4th St Sw, Washington, DC 20024",*Rental Value Coming Soon,,,,
,"Martin Luther King Jr ..., Washington, DC 20032",*Rental Value Coming Soon,,,,
,"Jay St Ne Apt 2, Washington, DC 20019",*Rental Value Coming Soon,,,,
"$397,786","24th St Ne, Washington, DC 20018",$1840/m Estimated Rental Value,2 bed,1.5 bath,911 sqft.,Single-Family
"$494,600","Martin Luther King Jr ..., Washington, DC 20032",$1460/m Estimated Rental Value,2 bed,1 bath,800 sqft.,Single-Family
,"18th St Ne, Apt 4, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$392,260","C St Se, Washington, DC 20019",$1710/m Estimated Rental Value,,,,Condo
"$1,097,272","12th St Nw, Washington, DC 20012",$3560/m Estimated Rental Value,5 bed,2.5 bath,"2,163 sqft.",Single-Family
"$755,134","Allison St Ne, Washington, DC 20017",$2320/m Estimated Rental Value,4 bed,3.5 bath,"1,706 sqft.",Single-Family
"$528,771","14th St Ne, Washington, DC 20018",$2130/m Estimated Rental Value,3 bed,1.5 bath,"1,056 sqft.",Single-Family
"$429,531","Anacostia Ave Ne, Washington, DC 20019",$1920/m Estimated Rental Value,3 bed,2 bath,"1,060 sqft.",Single-Family
"$667,728","N Capitol St Ne, Washington, DC 20002",$1930/m Estimated Rental Value,3 bed,1 bath,"1,860 sqft.",Single-Family
"$968,403","Rock Creek Church Rd Nw, Washington, DC 20010",$3030/m Estimated Rental Value,6 bed,3 bath,"2,463 sqft.",Single-Family
,"22nd St Se, Washington, DC 20020",*Rental Value Coming Soon,,,,
,"Prospect St Nw, Washington, DC 20007",*Rental Value Coming Soon,,,,
"$536,268","Oates St Ne, Washington, DC 20002",$2040/m Estimated Rental Value,6 bed,1 bath,"1,294 sqft.",Townhome
"$708,000","Adams St Nw, Washington, DC 20001",$2670/m Estimated Rental Value,4 bed,2 bath,"1,470 sqft.",Multi-Family
"$748,433","Kansas Ave Nw, Washington, DC 20011",$2670/m Estimated Rental Value,3 bed,3 bath,"1,400 sqft.",Townhome
