Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type,Street,City,State Label,Zip Code
341081,"Bellmore Dr, Pawtucket, RI 02861",,3,1.5,1400,SF,Bellmore Dr,Pawtucket,RI,2861
247095,"River Ave, Providence, RI 02908",,8,3,2859,MF,River Ave,Providence,RI,2908
545513,"Kimberly Ln N, Cranston, RI 02921",2150,3,2,1470,SF,Kimberly Ln N,Cranston,RI,2921
346995,"Red Oak Dr, Richmond, RI 02898",1400,3,1,1132,SF,Red Oak Dr,Richmond,RI,2898
303178,"Pine Hill Ave, Johnston, RI 02919",1900,3,1,928,SF,Pine Hill Ave,Johnston,RI,2919
414499,"Newburg St, Johnston, RI 02919",1620,2,1.5,1068,SF,Newburg St,Johnston,RI,2919
326835,"Roberts St, Woonsocket, RI 02895",1230,2,1.5,988,SF,Roberts St,Woonsocket,RI,2895
485548,"Clemente Dr, East Greenwich, RI 02818",2220,3,1,1170,SF,Clemente Dr,East Greenwich,RI,2818
390925,"Ferncrest Ave, Cranston, RI 02905",1700,6,2.5,1552,SF,Ferncrest Ave,Cranston,RI,2905
391440,"Jane St, North Providence, RI 02904",1640,3,1.5,1681,SF,Jane St,North Providence,RI,2904
606800,"North St, Cranston, RI 02920",1950,8,3,3658,MF,North St,Cranston,RI,2920
270716,"South Rd, Exeter, RI 02822",1370,3,1.5,1258,SF,South Rd,Exeter,RI,2822
360360,"Auburn Ave, Johnston, RI 02919",1620,3,1.5,1054,SF,Auburn Ave,Johnston,RI,2919
352226,"Boulevard Ave, Lincoln, RI 02865",1840,3,1.5,1643,SF,Boulevard Ave,Lincoln,RI,2865
418750,"Juniper Dr, West Warwick, RI 02893",1960,3,1.5,1956,SF,Juniper Dr,West Warwick,RI,2893
213010,"Mercy St, Providence, RI 02909",,3,1,1784,SF,Mercy St,Providence,RI,2909
301940,"Leading St, Johnston, RI 02919",1660,4,3,1762,SF,Leading St,Johnston,RI,2919
371232,"Cooke Pl, Warwick, RI 02888",1800,3,1.5,1344,SF,Cooke Pl,Warwick,RI,2888
239473,"Van Zandt Ave, Warwick, RI 02889",1301,4,1,800,SF,Van Zandt Ave,Warwick,RI,2889
293309,"Tanner Ave, Warwick, RI 02886",1460,3,1,1032,SF,Tanner Ave,Warwick,RI,2886
339322,"Redwood St, Woonsocket, RI 02895",1301,2,1,1072,SF,Redwood St,Woonsocket,RI,2895
170765,"Grove St, Pawtucket, RI 02860",,2,1.5,964,CONDO,Grove St,Pawtucket,RI,2860
523440,"Concord Ave, North Kingstown, RI 02852",2240,3,1.5,1843,SF,Concord Ave,North Kingstown,RI,2852
202215,"California Ave, Providence, RI 02905",,4,1,1560,SF,California Ave,Providence,RI,2905
387632,"Glen Farm Ct, Warwick, RI 02889",1730,4,2,1068,SF,Glen Farm Ct,Warwick,RI,2889
276062,"Oniska St, Warwick, RI 02889",1100,2,1,780,SF,Oniska St,Warwick,RI,2889
189803,"Whittier Ave, Providence, RI 02909",,3,1,1120,SF,Whittier Ave,Providence,RI,2909
260462,"Edgemere Ave, Providence, RI 02909",,3,1.5,2442,SF,Edgemere Ave,Providence,RI,2909
366670,"Knotty Oak Rd, Coventry, RI 02816",1510,3,1.5,1365,SF,Knotty Oak Rd,Coventry,RI,2816
391807,"Hilary Ave, Cumberland, RI 02864",1690,3,1.5,1356,SF,Hilary Ave,Cumberland,RI,2864
347411,"Grand Ave, Warwick, RI 02889",1650,3,1,1120,SF,Grand Ave,Warwick,RI,2889
384545,"Longfellow Dr, Coventry, RI 02816",1550,3,1.5,1318,SF,Longfellow Dr,Coventry,RI,2816
334968,"Chestnut Ave, Cranston, RI 02910",1490,2,1,1040,SF,Chestnut Ave,Cranston,RI,2910
431579,"Old Spring Rd, Cranston, RI 02920",1840,3,1,1034,SF,Old Spring Rd,Cranston,RI,2920
588176,"E Greenwich Ave, West Warwick, RI 02893",2120,4,2.5,2496,SF,E Greenwich Ave,West Warwick,RI,2893
147487,"Rathbun St Apt 2, Woonsocket, RI 02895",1010,2,1,780,CONDO,Rathbun St Apt 2,Woonsocket,RI,2895
90695,"Torch Ln, Coventry, RI 02816",,2,2,840,SF,Torch Ln,Coventry,RI,2816
203798,"Diana Dr, Pawtucket, RI 02861",,2,2,958,SF,Diana Dr,Pawtucket,RI,2861
254500,"Putnam Pike, Chepachet, RI 02814",1680,7,3,3218,MF,Putnam Pike,Chepachet,RI,2814
373128,"Atwood Ave, Johnston, RI 02919",1590,4,1.5,1792,SF,Atwood Ave,Johnston,RI,2919
280984,"Adams St, North Providence, RI 02904",1610,3,1,928,SF,Adams St,North Providence,RI,2904
373600,"Winter St, Woonsocket, RI 02895",1640,6,2,2904,MF,Winter St,Woonsocket,RI,2895
351000,"Albert Ave, Cranston, RI 02905",1840,6,3,3487,MF,Albert Ave,Cranston,RI,2905
415400,"Baker St, Bristol, RI 02809",1430,4,2,1416,MF,Baker St,Bristol,RI,2809
564931,"Nicholas Rd, Coventry, RI 02827",2120,3,2.5,1976,SF,Nicholas Rd,Coventry,RI,2827
350152,"Archdale Dr, Warwick, RI 02889",1470,3,1,1032,SF,Archdale Dr,Warwick,RI,2889
297777,"Bailey St, Woonsocket, RI 02895",1301,3,2,1521,SF,Bailey St,Woonsocket,RI,2895
427609,"Crestwood Dr, Richmond, RI 02832",1470,3,2,1320,SF,Crestwood Dr,Richmond,RI,2832
513236,"Hopkins Ave, Johnston, RI 02919",2020,3,2,1786,SF,Hopkins Ave,Johnston,RI,2919
348542,"Church Ave, Warwick, RI 02889",1378,3,1,1008,SF,Church Ave,Warwick,RI,2889
376500,"Mendon Rd, Woonsocket, RI 02895",1131,3,3,2357,MF,Mendon Rd,Woonsocket,RI,2895
563418,"Baneberry Dr, Cranston, RI 02921",2180,3,2.5,1644,SF,Baneberry Dr,Cranston,RI,2921
334000,"Elm St, North Providence, RI 02911",1640,4,2,1404,SF,Elm St,North Providence,RI,2911
389107,"Scranton Ave, Warwick, RI 02888",1600,3,2,1524,SF,Scranton Ave,Warwick,RI,2888
321816,"Guertin St, West Warwick, RI 02893",,4,2,1338,SF,Guertin St,West Warwick,RI,2893
482646,"E Lakeview Dr, North Providence, RI 02904",1650,3,2,1584,SF,E Lakeview Dr,North Providence,RI,2904
394000,"Whipple Ave, Cranston, RI 02920",1950,6,2,2233,MF,Whipple Ave,Cranston,RI,2920
377257,"Setian Ln, West Warwick, RI 02893",1780,3,1,1648,SF,Setian Ln,West Warwick,RI,2893
409543,"Mulberry Ct, Coventry, RI 02816",1610,2,1,1176,SF,Mulberry Ct,Coventry,RI,2816
385979,"Capuano Ave, Cranston, RI 02920",1820,3,1,1340,SF,Capuano Ave,Cranston,RI,2920
704730,"Fox Ridge Dr, Cranston, RI 02921",2650,3,2.5,3063,SF,Fox Ridge Dr,Cranston,RI,2921
348755,"Cypress St, Providence, RI 02906",,6,3,3498,MF,Cypress St,Providence,RI,2906
432547,"Atwood Ave, Johnston, RI 02919",1700,4,3.5,1541,SF,Atwood Ave,Johnston,RI,2919
221935,"Bath St, Providence, RI 02908",,6,3,2288,MF,Bath St,Providence,RI,2908
326024,"Chestnut Ave, Cranston, RI 02910",1580,3,1.5,1326,SF,Chestnut Ave,Cranston,RI,2910
383809,"Belmont Ave, East Providence, RI 02914",1610,2,1.5,1344,SF,Belmont Ave,East Providence,RI,2914
620059,"Shore Rd, Westerly, RI 02891",,3,2,1418,SF,Shore Rd,Westerly,RI,2891
244205,"Garden St, Pawtucket, RI 02860",,6,3,2280,MF,Garden St,Pawtucket,RI,2860
421545,"Maxfield Ave, East Providence, RI 02914",1700,2,1,1296,SF,Maxfield Ave,East Providence,RI,2914
504886,"Archer Way, Coventry, RI 02816",1870,2,1,1680,SF,Archer Way,Coventry,RI,2816
388003,"Clemence St, Cranston, RI 02920",1740,3,2,1326,SF,Clemence St,Cranston,RI,2920
500112,"Killian Rd, Johnston, RI 02919",1970,3,2.5,2370,SF,Killian Rd,Johnston,RI,2919
223000,"Arthur St, West Warwick, RI 02893",1141,2,1,707,SF,Arthur St,West Warwick,RI,2893
303284,"Nipmuc Trl, West Greenwich, RI 02817",1810,2,2,1228,SF,Nipmuc Trl,West Greenwich,RI,2817
165465,"Metropolitan Rd, Providence, RI 02908",,2,1,816,SF,Metropolitan Rd,Providence,RI,2908
227460,"Canton St, Providence, RI 02908",,3,1.5,1465,SF,Canton St,Providence,RI,2908
642616,"Michael Dr, Bristol, RI 02809",2040,4,2.5,1892,SF,Michael Dr,Bristol,RI,2809
372605,"Lake Washington Dr, Chepachet, RI 02814",1600,3,1,960,SF,Lake Washington Dr,Chepachet,RI,2814
179900,"Round Lake Dr, Pascoag, RI 02859",1640,2,2,976,SF,Round Lake Dr,Pascoag,RI,2859
329200,"Mendon Rd, Woonsocket, RI 02895",1640,6,2,2450,MF,Mendon Rd,Woonsocket,RI,2895
260462,"Edgemere Ave, Providence, RI 02909",,4,2.5,1328,SF,Edgemere Ave,Providence,RI,2909
343000,"Grosvenor Ave, Pawtucket, RI 02860",,3,2,1967,SF,Grosvenor Ave,Pawtucket,RI,2860
332222,"Vicksburg St, Providence, RI 02904",,6,4.5,2484,MF,Vicksburg St,Providence,RI,2904
301740,"Boyds Ln, Portsmouth, RI 02871",1820,3,1,1144,SF,Boyds Ln,Portsmouth,RI,2871
299000,"Quaker Ln Apt 31, West Warwick, RI 02893",1230,2,1.5,1288,CONDO,Quaker Ln Apt 31,West Warwick,RI,2893
175394,"Lisas Way, Coventry, RI 02816",,3,2,1620,SF,Lisas Way,Coventry,RI,2816
416380,"Cole Dr, North Kingstown, RI 02852",1600,3,1.5,1483,SF,Cole Dr,North Kingstown,RI,2852
382529,"Raymond Rd, North Providence, RI 02911",1620,2,1,1102,SF,Raymond Rd,North Providence,RI,2911
189922,"Ruth St, Pawtucket, RI 02861",,2,1,1176,SF,Ruth St,Pawtucket,RI,2861
535857,"Hines Rd, Cumberland, RI 02864",1970,3,2,1310,SF,Hines Rd,Cumberland,RI,2864
360355,"Argyle St, Cranston, RI 02920",1400,1,1,1152,SF,Argyle St,Cranston,RI,2920
374433,"Spooner Ave, Warwick, RI 02886",1760,4,2,1777,SF,Spooner Ave,Warwick,RI,2886
346081,"Paolino St, Johnston, RI 02919",1860,2,1.5,1048,SF,Paolino St,Johnston,RI,2919
195483,"Pawtucket Ave, Chepachet, RI 02814",1470,2,1,275,SF,Pawtucket Ave,Chepachet,RI,2814
196010,"King Philip Rd, Coventry, RI 02816",,3,2.5,2016,SF,King Philip Rd,Coventry,RI,2816
322303,"Elmbrook Dr, Warwick, RI 02889",1480,3,1,1008,SF,Elmbrook Dr,Warwick,RI,2889
250665,"Mccabe Ave, Pawtucket, RI 02861",,3,1.5,1645,SF,Mccabe Ave,Pawtucket,RI,2861
394939,"Ashley St, Cranston, RI 02920",1770,3,2,1002,SF,Ashley St,Cranston,RI,2920
355800,"Heath St, Riverside, RI 02915",1680,3,2,1372,SF,Heath St,Riverside,RI,2915
324561,"Killey Ave, Warwick, RI 02889",1540,3,1,1209,SF,Killey Ave,Warwick,RI,2889
383139,"Blanding Ave, East Providence, RI 02914",1590,3,2.5,1165,SF,Blanding Ave,East Providence,RI,2914
363314,"Joslin St, North Providence, RI 02911",1630,4,2,1248,SF,Joslin St,North Providence,RI,2911
420152,"Elder Ave, Riverside, RI 02915",1650,3,1,1248,SF,Elder Ave,Riverside,RI,2915
272500,"Woonasquatucket Ave, North Providence, RI 02911",1730,4,2,1479,MF,Woonasquatucket Ave,North Providence,RI,2911
330232,"Oregon Ave, Woonsocket, RI 02895",1230,2,1,981,SF,Oregon Ave,Woonsocket,RI,2895
247860,"Hartford Ave, Providence, RI 02909",,6,2,2496,MF,Hartford Ave,Providence,RI,2909
283543,"Maynard St, Pawtucket, RI 02860",,4,1.5,2464,SF,Maynard St,Pawtucket,RI,2860
613266,"Phenix Ave, Cranston, RI 02921",2370,3,2.5,2570,SF,Phenix Ave,Cranston,RI,2921
270114,"Verndale St, Warwick, RI 02889",1370,2,1,1206,SF,Verndale St,Warwick,RI,2889
277729,"King St, Johnston, RI 02919",1600,2,1,774,SF,King St,Johnston,RI,2919
225000,"Bowdoin St, Providence, RI 02909",1530,8,4,3570,MF,Bowdoin St,Providence,RI,2909
318300,"Curtis St, Providence, RI 02909",1570,4,3,2304,MF,Curtis St,Providence,RI,2909
283682,"Knotty Oak Rd, Coventry, RI 02816",1500,2,1,1080,SF,Knotty Oak Rd,Coventry,RI,2816
377485,"Chickadee Ln, Westerly, RI 02891",,3,2,1915,SF,Chickadee Ln,Westerly,RI,2891
370119,"Harwood St, Cranston, RI 02910",1560,3,1,1456,SF,Harwood St,Cranston,RI,2910
300961,"East Ave, North Providence, RI 02911",1620,2,1,1048,SF,East Ave,North Providence,RI,2911
213238,"Windsor Rd, Pawtucket, RI 02861",,3,1,1092,SF,Windsor Rd,Pawtucket,RI,2861
261545,"Lockwood St, West Warwick, RI 02893",1540,3,1,1390,SF,Lockwood St,West Warwick,RI,2893
207230,"Cross St, Westerly, RI 02891",,2,1,944,SF,Cross St,Westerly,RI,2891
145520,"Bloomingdale Ave, Pawtucket, RI 02860",,2,1,672,SF,Bloomingdale Ave,Pawtucket,RI,2860
271830,"Fairoaks Ave, Providence, RI 02908",,4,2,1986,SF,Fairoaks Ave,Providence,RI,2908
432773,"Midland Dr, Cranston, RI 02920",1930,3,2,1200,SF,Midland Dr,Cranston,RI,2920
218652,"Island Ave, Portsmouth, RI 02871",1400,2,1,612,SF,Island Ave,Portsmouth,RI,2871
284525,"Stanmore Rd, Warwick, RI 02889",1201,2,1,720,SF,Stanmore Rd,Warwick,RI,2889
408959,"Fern St, Warwick, RI 02889",1630,4,2,1645,SF,Fern St,Warwick,RI,2889
244545,"Chaplin St, Pawtucket, RI 02861",,4,2,2122,MF,Chaplin St,Pawtucket,RI,2861
555316,"Deer Run Rd, Tiverton, RI 02878",2080,3,1,1168,SF,Deer Run Rd,Tiverton,RI,2878
223000,"Whipple Ave, Cranston, RI 02920",1610,7,3,3263,MF,Whipple Ave,Cranston,RI,2920
391674,"Spencer Rd, Greenville, RI 02828",1910,4,2,1825,SF,Spencer Rd,Greenville,RI,2828
267053,"N Country Club Dr, Warwick, RI 02888",1450,3,1,1000,SF,N Country Club Dr,Warwick,RI,2888
420633,"Walnut Glen Dr, Warwick, RI 02886",1660,3,2,1404,SF,Walnut Glen Dr,Warwick,RI,2886
559737,"Cumberland Rd, Warwick, RI 02886",2340,4,2.5,2200,SF,Cumberland Rd,Warwick,RI,2886
360675,"Curtis St, Cranston, RI 02920",1770,2,2,878,SF,Curtis St,Cranston,RI,2920
189890,"Gallatin St, Providence, RI 02907",,3,1,1930,SF,Gallatin St,Providence,RI,2907
313350,"Dawn Blvd, Woonsocket, RI 02895",1230,3,1,1164,SF,Dawn Blvd,Woonsocket,RI,2895
463410,"Ward Ave, North Providence, RI 02904",1378,4,3,1748,MF,Ward Ave,North Providence,RI,2904
385378,"Cushing Rd, Warwick, RI 02888",1620,3,1.5,1476,SF,Cushing Rd,Warwick,RI,2888
301630,"Ithica St, Warwick, RI 02889",1420,3,1,1056,SF,Ithica St,Warwick,RI,2889
417634,"Tanglewood Dr, Riverside, RI 02915",1770,3,1.5,1360,SF,Tanglewood Dr,Riverside,RI,2915
452030,"Grove Ave, North Providence, RI 02911",1670,2,2.5,2231,SF,Grove Ave,North Providence,RI,2911
218089,"Hope Ct, West Warwick, RI 02893",1010,2,1,783,SF,Hope Ct,West Warwick,RI,2893
431978,"Brettonwoods Dr, Cranston, RI 02920",1860,3,1.5,1416,SF,Brettonwoods Dr,Cranston,RI,2920
448800,"Ferncrest Ave, Cranston, RI 02905",1790,4,1.5,2048,SF,Ferncrest Ave,Cranston,RI,2905
384700,"Bleachery Ct, Warwick, RI 02886",1370,4,2,1872,MF,Bleachery Ct,Warwick,RI,2886
307632,"Summit Ave, West Warwick, RI 02893",1480,3,1.5,1008,SF,Summit Ave,West Warwick,RI,2893
355764,"Arlington St, East Providence, RI 02914",1530,2,2,1092,SF,Arlington St,East Providence,RI,2914
367308,"Hazard Ave, Warwick, RI 02889",1450,3,1.5,1317,SF,Hazard Ave,Warwick,RI,2889
222369,"Pippin St, Cranston, RI 02920",1630,3,2,1248,SF,Pippin St,Cranston,RI,2920
453200,"Hazelwood Ave, East Providence, RI 02914",1680,7,2,1664,MF,Hazelwood Ave,East Providence,RI,2914
357694,"Cypress St, Riverside, RI 02915",1650,2,2,829,SF,Cypress St,Riverside,RI,2915
235093,"Privilege St Apt 6, Woonsocket, RI 02895",1010,2,1,1005,CONDO,Privilege St Apt 6,Woonsocket,RI,2895
265800,"Follett St, East Providence, RI 02914",1151,4,2,1584,MF,Follett St,East Providence,RI,2914
599683,"Bud Way, Tiverton, RI 02878",1640,3,2,1322,SF,Bud Way,Tiverton,RI,2878
240241,"Arlington St, Westerly, RI 02891",,2,1.5,1056,SF,Arlington St,Westerly,RI,2891
182835,"Corinth St, Providence, RI 02907",,4,2.5,1517,SF,Corinth St,Providence,RI,2907
219746,"Riverside Ave, Johnston, RI 02919",1590,2,1,726,SF,Riverside Ave,Johnston,RI,2919
371818,"Cathedral Rd, Warwick, RI 02889",1630,4,1,1164,SF,Cathedral Rd,Warwick,RI,2889
402259,"Roslyn Ave, Cranston, RI 02910",1590,3,1.5,1352,SF,Roslyn Ave,Cranston,RI,2910
447774,"Bishop Hill Rd, Johnston, RI 02919",1730,3,1,1248,SF,Bishop Hill Rd,Johnston,RI,2919
327700,"Lafayette St, West Warwick, RI 02893",1398,3,2,1674,MF,Lafayette St,West Warwick,RI,2893
260065,"Gallatin St, Providence, RI 02907",,5,3,3329,MF,Gallatin St,Providence,RI,2907
395300,"Park View Ave, Warwick, RI 02888",1420,4,2,1536,MF,Park View Ave,Warwick,RI,2888
407609,"Timber Walk, West Warwick, RI 02893",1960,3,2.5,2038,SF,Timber Walk,West Warwick,RI,2893
185158,"Burleigh St, Providence, RI 02904",,2,1.5,1036,CONDO,Burleigh St,Providence,RI,2904
333943,"Worcester Ave, North Providence, RI 02911",1650,3,1,1680,SF,Worcester Ave,North Providence,RI,2911
266310,"Charles St, Providence, RI 02904",1181,2,1,5724,SF,Charles St,Providence,RI,2904
603617,"Lake View Dr, Chepachet, RI 02814",1900,2,1.5,1370,SF,Lake View Dr,Chepachet,RI,2814
450630,"Quail Hollow Rd, Cranston, RI 02920",2020,3,1,1564,SF,Quail Hollow Rd,Cranston,RI,2920
353268,"Cove Ave, Warwick, RI 02889",1640,3,1,1314,SF,Cove Ave,Warwick,RI,2889
582051,"Lippitt Ave, Cranston, RI 02921",2080,3,2,999,SF,Lippitt Ave,Cranston,RI,2921
631428,"Deerfield Dr, North Smithfield, RI 02896",1291,3,1.5,2454,SF,Deerfield Dr,North Smithfield,RI,2896
381837,"Naushon Ave, Warwick, RI 02888",1510,2,1,940,SF,Naushon Ave,Warwick,RI,2888
274928,"Bartlett Dr, Warwick, RI 02886",1301,2,1,768,SF,Bartlett Dr,Warwick,RI,2886
465111,"Chestnut Ave, Lincoln, RI 02865",1630,4,1,1292,SF,Chestnut Ave,Lincoln,RI,2865
885666,"Post Rd, Warwick, RI 02888",3110,7,4,6746,SF,Post Rd,Warwick,RI,2888
358697,"Woburn St, Cranston, RI 02910",1520,4,1.5,1212,SF,Woburn St,Cranston,RI,2910
378337,"New Meadow Rd, Barrington, RI 02806",2000,2,1,883,SF,New Meadow Rd,Barrington,RI,2806
318700,"Ivy St, West Warwick, RI 02893",1520,5,2,1945,MF,Ivy St,West Warwick,RI,2893
237576,"Revere St, Pawtucket, RI 02861",,2,1,1072,SF,Revere St,Pawtucket,RI,2861
445387,"Elmhurst Dr, Greenville, RI 02828",1880,3,2,1808,SF,Elmhurst Dr,Greenville,RI,2828
395976,"Shane Dr, West Warwick, RI 02893",1500,3,1.5,1591,SF,Shane Dr,West Warwick,RI,2893
168980,"Blackstone St, Providence, RI 02907",,5,1,1334,SF,Blackstone St,Providence,RI,2907
287754,"Vermont St, Johnston, RI 02919",1620,2,1,1092,SF,Vermont St,Johnston,RI,2919
274720,"Avon St, Pawtucket, RI 02860",,4,2,1728,SF,Avon St,Pawtucket,RI,2860
1429999,"Joslin St, North Providence, RI 02911",1630,4,3.5,2978,SF,Joslin St,North Providence,RI,2911
261000,"Douglas Ave, Providence, RI 02908",1570,6,3,2745,MF,Douglas Ave,Providence,RI,2908
341791,"Florence St, North Providence, RI 02904",1630,4,1,1254,SF,Florence St,North Providence,RI,2904
450468,"Rosner Ave, North Providence, RI 02904",1630,3,1,1236,SF,Rosner Ave,North Providence,RI,2904
338430,"Pinnery Ave, Warwick, RI 02886",1470,3,1,1299,SF,Pinnery Ave,Warwick,RI,2886
290826,"Quaker Ln Apt 42, West Warwick, RI 02893",1191,2,1.5,1140,CONDO,Quaker Ln Apt 42,West Warwick,RI,2893
235535,"What Cheer Ave, Providence, RI 02909",,3,2,2280,SF,What Cheer Ave,Providence,RI,2909
504782,"Harkness Rd, North Smithfield, RI 02896",1380,3,1.5,1486,SF,Harkness Rd,North Smithfield,RI,2896
352737,"Douglas Rd, Warwick, RI 02886",1460,3,1.5,1100,SF,Douglas Rd,Warwick,RI,2886
235535,"What Cheer Ave, Providence, RI 02909",,3,2,1680,SF,What Cheer Ave,Providence,RI,2909
620833,"Brown Ave, Barrington, RI 02806",2180,4,2,1488,SF,Brown Ave,Barrington,RI,2806
348867,"Stafford Rd, Tiverton, RI 02878",1770,3,1,992,SF,Stafford Rd,Tiverton,RI,2878
83045,"Park Ln, Coventry, RI 02816",,2,1,744,SF,Park Ln,Coventry,RI,2816
321600,"Oak St, Cranston, RI 02910",1430,4,2,1782,MF,Oak St,Cranston,RI,2910
391400,"Elmdale Ave, Johnston, RI 02919",1870,3,2,1897,MF,Elmdale Ave,Johnston,RI,2919
185956,"Lloyd St, Pawtucket, RI 02860",,2,1,840,SF,Lloyd St,Pawtucket,RI,2860
220235,"Miner St, Providence, RI 02905",,8,3,2704,MF,Miner St,Providence,RI,2905
252144,"Phillip Ave, Cumberland, RI 02864",1640,2,1,798,SF,Phillip Ave,Cumberland,RI,2864
481412,"Fanning Ln, Greenville, RI 02828",1930,3,2,1814,SF,Fanning Ln,Greenville,RI,2828
