Price,Address,Rent Estimate,Beds,Baths,Sq. Ft,Home Type
"$308,723","Grant St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,1.5 bath,"1,152 sqft.",Single-Family
"$498,612","47th St Ne, Washington, DC 20019",$2040/m Estimated Rental Value,5 bed,2 bath,"2,363 sqft.",Single-Family
"$598,000","9th St Nw, Washington, DC 20011",$2530/m Estimated Rental Value,3 bed,2 bath,"1,604 sqft.",Townhome
"$440,380","Bruce Pl Se, Washington, DC 20020",$1580/m Estimated Rental Value,,,,
"$1,980,000","Reservoir Rd Nw, Washington, DC 20007",$4600/m Estimated Rental Value,4 bed,2 bath,"1,496 sqft.",Townhome
"$1,980,000","Reservoir Rd Nw, Washington, DC 20007",$4600/m Estimated Rental Value,4 bed,1.5 bath,"1,496 sqft.",Single-Family
"$6,071,703","8th St Nw, Washington, DC 20001",$2720/m Estimated Rental Value,2 bed,1 bath,"1,319 sqft.",Townhome
"$1,061,557","Euclid St Nw, Washington, DC 20009",$2920/m Estimated Rental Value,,,,
"$368,379","Douglas St Ne, Washington, DC 20019",$1920/m Estimated Rental Value,2 bed,2 bath,"1,307 sqft.",Single-Family
"$432,726","Rhode Island Ave Nw Ap..., Washington, DC 20005",$2220/m Estimated Rental Value,1 bed,1 bath,,Single-Family
"$127,143","Quarles St Ne Apt 103, Washington, DC 20019",$1398/m Estimated Rental Value,,,,Condo
"$363,319","Southern Ave Se, Washington, DC 20019",$1900/m Estimated Rental Value,3 bed,1 bath,"1,024 sqft.",Townhome
"$1,574,900","19th St Nw, Washington, DC 20036",$4960/m Estimated Rental Value,8 bed,6 bath,"2,515 sqft.",Single-Family
"$596,769","10th St Ne, Washington, DC 20018",$2320/m Estimated Rental Value,3 bed,2 bath,"1,310 sqft.",Townhome
"$489,737","21st St Ne, Washington, DC 20018",$2360/m Estimated Rental Value,3 bed,2 bath,"1,408 sqft.",Single-Family
"$1,456,080","14th St Nw, Washington, DC 20011",$3660/m Estimated Rental Value,5 bed,5 bath,"2,624 sqft.",Single-Family
"$384,240","G St Se, Washington, DC 20019",$2020/m Estimated Rental Value,3 bed,1 bath,832 sqft.,Single-Family
"$602,656","Farragut St Nw, Washington, DC 20011",$2480/m Estimated Rental Value,3 bed,2 bath,"1,504 sqft.",Townhome
"$414,673","51st St Ne, Washington, DC 20019",$1790/m Estimated Rental Value,3 bed,3 bath,"2,112 sqft.",Single-Family
"$180,262","Gainesville St Se Apt 201, Washington, DC 20020",$1470/m Estimated Rental Value,2 bed,1 bath,839 sqft.,Condo
"$284,044","Clay Pl Ne, Washington, DC 20019",$1420/m Estimated Rental Value,2 bed,1 bath,832 sqft.,Townhome
,"A St Se, Washington, DC 20019",*Rental Value Coming Soon,2 bed,1 bath,902 sqft.,Land
"$1,269,789","16th St Nw, Washington, DC 20011",$3650/m Estimated Rental Value,5 bed,5 bath,"2,670 sqft.",Single-Family
"$578,811","K St Se, Washington, DC 20003",$2600/m Estimated Rental Value,3 bed,1 bath,"1,290 sqft.",Townhome
"$608,220","Varnum Pl Ne, Washington, DC 20017",$2170/m Estimated Rental Value,3 bed,2 bath,"1,188 sqft.",Single-Family
"$332,880","Longfellow St Nw Apt 208, Washington, DC 20011",$1730/m Estimated Rental Value,2 bed,1 bath,720 sqft.,Condo
"$482,405","Clay Pl Ne, Washington, DC 20019",$1990/m Estimated Rental Value,3 bed,3 bath,"1,175 sqft.",Single-Family
"$565,898","Gallatin St Nw, Washington, DC 20011",$2350/m Estimated Rental Value,3 bed,1 bath,"1,228 sqft.",Townhome
"$346,821","Alabama Ave Se, Washington, DC 20020",$1580/m Estimated Rental Value,3 bed,2 bath,"1,152 sqft.",Townhome
"$242,899","M St Sw # N802, Washington, DC 20024",$1470/m Estimated Rental Value,,1 bath,461 sqft.,Condo
"$376,117","Grant Pl Ne, Washington, DC 20019",$1490/m Estimated Rental Value,2 bed,1 bath,837 sqft.,Condo
"$852,300","12th St Nw, Washington, DC 20012",$3140/m Estimated Rental Value,3 bed,3 bath,"1,638 sqft.",Single-Family
,"1st St Se Apt 604, Washington, DC 20003",*Rental Value Coming Soon,,,,
,"K St Nw Ste 300, Washington, DC 20006",*Rental Value Coming Soon,,,,
,"14th St Nw # 200, Washington, DC 20011",*Rental Value Coming Soon,,,,Commercial
"$529,238","Vermont Ave Nw Apt 620, Washington, DC 20001",$2320/m Estimated Rental Value,1 bed,1 bath,729 sqft.,Condo
"$269,175","Macarthur Blvd Nw Apt 201, Washington, DC 20007",$1830/m Estimated Rental Value,1 bed,1 bath,583 sqft.,Condo
"$466,866","E Capitol St Se, Washington, DC 20019",$1880/m Estimated Rental Value,3 bed,2 bath,"1,728 sqft.",Single-Family
"$478,491","Nicholson St Ne, Washington, DC 20011",$2210/m Estimated Rental Value,3 bed,2 bath,"1,118 sqft.",Single-Family
"$837,143","Lawrence St Ne, Washington, DC 20017",$3030/m Estimated Rental Value,3 bed,2 bath,"1,392 sqft.",Single-Family
"$383,874","Bass Pl Se, Washington, DC 20019",$1760/m Estimated Rental Value,2 bed,1 bath,800 sqft.,Single-Family
"$334,080","Douglass Rd Se Apt 402, Washington, DC 20020",$1530/m Estimated Rental Value,2 bed,2 bath,937 sqft.,Condo
"$393,132","Ord St Ne, Washington, DC 20019",$1920/m Estimated Rental Value,3 bed,1 bath,"1,529 sqft.",Single-Family
,"Florida Ave Nw # 205, Washington, DC 20001",*Rental Value Coming Soon,,,,Commercial
,"2nd St Nw Apt 2, Washington, DC 20001",*Rental Value Coming Soon,,,,
,"Harvard St Nw Apt D, Washington, DC 20009",*Rental Value Coming Soon,,,,
,"Georgia Ave Nw Apt 1, Washington, DC 20012",*Rental Value Coming Soon,,,,
"$480,150","T Pl Se, Washington, DC 20020",$1620/m Estimated Rental Value,2 bed,2 bath,900 sqft.,Townhome
,"Quincy St Nw Apt 411, Washington, DC 20011",*Rental Value Coming Soon,,,,
"$395,000","Eastern Ave Ne, Washington, DC 20011",$2060/m Estimated Rental Value,3 bed,1 bath,"1,024 sqft.",Single-Family
"$237,024","3rd St Sw Apt 707, Washington, DC 20024",$1600/m Estimated Rental Value,,,,Condo
"$413,359","N Capitol St Nw, Washington, DC 20012",$2000/m Estimated Rental Value,2 bed,1 bath,896 sqft.,Single-Family
"$628,803","Dahlia St Nw, Washington, DC 20012",$2840/m Estimated Rental Value,5 bed,1.5 bath,"1,296 sqft.",Single-Family
"$413,359","N Capitol St Nw, Washington, DC 20012",$2000/m Estimated Rental Value,2 bed,1 bath,896 sqft.,Single-Family
,"Rhode Island Ave Ne Ap..., Washington, DC 20002",*Rental Value Coming Soon,,,,
"$252,598","Connecticut Ave Nw Apt..., Washington, DC 20008",$1680/m Estimated Rental Value,1 bed,1 bath,160 sqft.,Condo
,"H St Ne # 849, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$84,075","Good Hope Rd Se Apt 207, Washington, DC 20020",$1450/m Estimated Rental Value,1 bed,1 bath,,Condo
,"7th St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$486,212","Anacostia Rd Se, Washington, DC 20019",$1850/m Estimated Rental Value,4 bed,2 bath,"1,008 sqft.",Single-Family
,"7th St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,,
,"7th St Ne, Washington, DC 20002",*Rental Value Coming Soon,,,,
"$987,017","Pennsylvania Ave Se, Washington, DC 20003",*Rental Value Coming Soon,,1.5 bath,,Commercial
,"Connecticut Ave Nw Ste..., Washington, DC 20015",*Rental Value Coming Soon,,,,
"$432,726","Rhode Island Ave Nw Ap..., Washington, DC 20005",$2220/m Estimated Rental Value,1 bed,1 bath,604 sqft.,Single-Family
